Samskrit Word	Samskrit_GenderTelugu	Telugu_Word	Telugu _Gender																						
kAma	puM:napuM	kAmaM^korika^icCa	napuM:napuM																						
kAmakAra	puM	yaWeRtaMgA_pravarwiMcuvAdu	puM																						
kamala	puM:napuM	kamalaM	napuM																						
Asana	napuM	AsanaM	napuM																						
pawra	napuM	pawraM	napuM																						
akRa	puM:napuM	kannu^newraM	napuM																						
kAmin	puM:puM	kAmiMcuvAdu^korika_kalavAdu	puM																						
kAmyA	swrI	kAmyamu^korika	napuM																						
kAmya	napuM:puM	korika^koraxaginaxi	napuM:napuM																						
kanxarpa	puM	manmaWudu	puM																						
kapila	puM	kapila_varNaM	napuM																						
kapi	puM:swrI	kapi^kowi^enugu	napuM:napuM																						
Xvaja	puM	XvajaM^jaMda	napuM																						
kara	puM	kara^ceyuvAdu	puM																						
kAraka	napuM:puM	karwa	puM:puM																						
karAla	napuM:puM	BayAnakamu^BayaMkara^viswqwa	napuM:napuM																						
kAraNa	napuM	kAraNamu^sAXanamu^hewuvu	napuM																						
karaNa	napuM	kriya^Xarmika_kqwyaM	napuM																						
karmajA	swrI	karmalanuMci_puttinaxi	napuM																						
karmaja	napuM	karmalanuMci_puttinaxi	napuM																						
karman	napuM:puM	karma^pani_ceyadaM^kAryaM	napuM																						
karmin	puM	pani_ceyuvAdu	puM																						
karNa	puM	karNudu	puM																						
kArpaNya	napuM	kqpaNawvaM	napuM																						
karuNa	napuM:puM	karuNa^kanikaramu	napuM:napuM																						
karwq	puM	sqRti_karwa^ceyuvAdu	puM																						
kArya	napuM:puM	kAryaM^pani	napuM:napuM																						
kASirAja	puM	kAsirAju	puM																						
kaSmala	napuM:puM	malinaM^kaSmala^pApamu^aSuxXaM	napuM:napuM																						
kASya	napuM	kASi_rAjyapu	napuM																						
katu	napuM	gAtu^kAramu	napuM																						
kavi	puM	kavi^paMdiwudu	puM																						
kAya	napuM:puM	kAyamu^Sariramu^kAya	napuM:napuM																						
keSava	puM	keSavudu	puM																						
keSiniRUxana	puM	keSiniRUxanudu^viRNuvu	puM																						
kevala	napuM:puM	kevalaM	napuM:napuM																						
kilbiRa	napuM	wappu^pApamu^ceVdu_viRayaM	napuM																						
kirItin	puM	arjunudu^kirItamu_XariMcuvAdu	puM																						
kIrwi	puM:swrI	kIrwi	napuM:napuM																						
klEbya	napuM	pirikiwanamu^klEbyaM	napuM																						
kleSa	napuM:puM	kleSaM^kaRtaM^vexana^xuHKaM	napuM:napuM																						
kleSa	napuM:puM	xuHKaM^kaRtaM^bAXa	napuM:napuM																						
kOmAra	napuM:puM	kumArAvasWa	napuM:napuM																						
kOnweya	puM	kuMwI_puwrudu	puM																						
kOSala	napuM	kuSalawa^prasannawa	napuM																						
kqpA	swrI	kqpa^xaya^kanikaraM	napuM																						
kqpa	puM	kqpa^xaya^kanikaraM	puM																						
kqpaNa	napuM:puM:swrI	kqpaNudu^loBi^kuwsiwudu	puM																						
kqRi	swrI	kqRi^sexyamu^Srama^vyavasAyamu	napuM																						
kqRNa	napuM:puM:swrI:vi	kqRNudu^nalupu^xrOpaxi^kqRNA_naxi	puM:swrI:napuM:vi																						
kqwa	puM:napuM	kqwa^ceyabadinaxi	napuM:napuM																						
kqwsna	napuM:puM	aMwayu^jalamu	napuM:napuM																						
kqwya	napuM:puM	ceRta^kAryamu^ceyadaM^pani	napuM:napuM																						
kRamA	swrI	kRama^pqWvI^sahanaM	napuM																						
kRamin	puM	sahanaSIludu^kRamiMcuvAdu	puM																						
kRaNa	napuM:puM	kRaNaM	napuM:napuM																						
kRAnwi	swrI	gawi^gamanaM	napuM																						
kRara	puM:napuM	BUmi^meGamu	napuM:napuM																						
kRAwra	napuM	kRawriya_jAwi	napuM																						
kRawriya	puM	kRawriyudu	puM																						
krawu	puM	yajFamu^ceyabadunaxi	napuM																						
kRaya	napuM:puM	kRaya^nASamu	napuM:napuM																						
kRema	napuM:puM	kRemaM	napuM:napuM																						
kRewra	napuM	Bumi^kRewramu^sWalamu^paMta_BUmi	napuM:napuM																						
kRewrin	puM	BUsvAmi^Barya_kalavAdu	puM																						
kRipram	puM:napuM	SIGraM^vegaM	napuM:napuM																						
kriyA	swrI	ceRta^pani^kriya	napuM																						
kroXa	napuM:puM	kroXamu	napuM:napuM																						
krUra	napuM:puM	krUra^nirxaya^hiMsiMcadaM	napuM:napuM																						
kRuxra	puM	sUkRmaM	napuM																						
kula	napuM	kulaM	napuM																						
kulaGna	napuM:puM	kulamunu_nASamu_ceyuvAdu	puM:puM																						
kunwiBoja	puM	kunwiBojudu	puM																						
kunwI	swrI	kunwi	swrI																						
kUrma	puM	wAbelu^viRNu_avawAraM	napuM																						
kuru	puM	kuru_xeSaM	napuM																						
kurunanxana	puM	kurunaMxanudu	puM																						
kurusawwama	puM	kurusawwamudu^kuruSreRtudu	puM																						
kuSa	puM	kuSa^xarBamu	napuM																						
kuSala	napuM:puM	kuSalaM	napuM:napuM																						
kusumAkara	puM	uxyAnaM^vasaMwa_qwu	napuM																						
kUtasWa	napuM:puM	parabrahma^Awma^kAlamuwo_mAranixi	napuM:napuM																						
lABa	puM	lABaM	napuM																						
lAGava	napuM:puM	lAGavaM^culakana	napuM:napuM																						
laGvASin	puM	koMceM^nIca^koMceM_winuvAdu	napuM																						
lakRaNa	napuM	lakRaNaM	napuM																						
lavaNa	napuM:puM	lavaNamu^uppu	napuM:napuM																						
lifga	napuM	lifgaM	napuM																						
loBa	napuM:puM	loBaM^ASa	napuM:napuM																						
loka	napuM:puM	lokaM	napuM:napuM																						
loRta	puM:napuM	matti_gadda	napuM:napuM																						
mahAbAhu	napuM:puM	mahAbAhu^balamEna_Bujamulu_kalavAdu	puM:puM																						
raWa	puM	raWaM	napuM																						
SafKa	puM:napuM	SaMKaM	napuM:puM																						
mahAnuBAva	napuM:puM	mahAnuBAvudu	puM:puM																						
mahAraWa	puM	mahAraWudu	puM:puM																						
mahaw	napuM:puM	mahawwu^goppaxi	napuM:napuM																						
aSana	napuM	vyApwi^goppa_Akali	napuM																						
mahawI	swrI	goVppaxi^nAraxuni_vINa	napuM																						
mahAwman	napuM:puM	mahAwmudu	puM:puM																						
mAhAwmya	napuM	mAhAwmyaM^goppaxanaM	napuM																						
maheSvara	puM	maheSvarudu	puM																						
mahI	swrI	BUmi^mahi	napuM																						
mahIkRiw	puM	rAju^praBuvu	puM																						
mahiman	puM	goppawanamu^Esvaryamu	napuM																						
makara	puM	makaramu^moVsali	napuM																						
mala	puM	malamu	napuM																						
mAmaka	puM	mA_vAdu^mAxi	puM																						
mAmikA	swrI	mA^mAxi	swrI																						
mAna	puM	mAna^aBimAnamu^AxaraNa^ahaMkAraM^prawiRtA	napuM																						
mAna	puM	mAnamu	napuM																						
manas	napuM	manassu	napuM																						
mAnasa	puM	manassu^mAnasa_sarovaramu	napuM																						
mAnasa	puM	manassu	napuM																						
mAnava	puM	mAnavudu^maniRi^manu_saMbaMXa	puM																						
maNi	puM	ABURaNaM^rawnamu	napuM																						
maNipuRpaka	puM	maNipuRpakamu^sahaxevuni^SafKamu	napuM																						
manIRin	puM	buxXimaMwudu^vixvAMsudu	puM																						
manoraWa	puM	manoraWaM	napuM																						
manu	puM	manu^buxXi	napuM																						
mAnuRa	puM	maniRi^manavudu^puruRudu	puM																						
mAnuRI	swrI	Ada_maniRi	swrI																						
manuRya	puM	maniRi^manuRya_jAwi	napuM																						
manwra	puM	maMwraM	napuM																						
manxa	napuM:puM	maMxa^paSu_samUhamu	napuM:napuM																						
maraNa	napuM	maraNaM	napuM																						
mArgaSIrRa	puM	mArgaSira_mAsaM	napuM																						
marIci	puM	sUryudu^kiraNamu	napuM																						
maruw	puM	vAyuvu^gAli	napuM																						
mAruwa	napuM:puM	vAyuvu^gAli	napuM:napuM																						
marwya	puM	naSiMcunaxi^BUlokaM^mAnavudu	napuM																						
mArxava	napuM	mqxuwvaM^sukumArawa^meVwwana	napuM																						
mAsa	puM	mAsamu	napuM																						
mAsa	puM	mAsaM^neVla	napuM																						
mawa	napuM:puM	mawaM^aBiprAyaM^sammawaM	napuM:napuM																						
mawi	swrI	mawi^buxXi^icCa	napuM																						
mAwq	swrI	walli^lakRmi	swrI																						
mAwrA	swrI	parimANaM^koMceM	napuM																						
mAwra	napuM:puM	mAwrame	napuM:napuM																						
mAwula	puM	menamAma	puM																						
maxa	napuM:puM	maxamu^mawwu	napuM:napuM																						
mAXava	puM	mAXavudu	puM																						
maXusUxana	puM	maXusUxanudu	puM																						
maXya	napuM:puM	maXyamu	napuM:napuM																						
maXyasWa	napuM:puM	maXyavarwi	puM:puM																						
mAyA	swrI	mAya	napuM																						
meru	puM	meru_parvawaM	napuM																						
mEwra	puM	mEwri^miwrudu^sneha_BAvaM	napuM																						
meXA	swrI	meXassu^XAraNA_Sakwi^buxXi	napuM																						
meXas	puM	meXassu	napuM																						
meXAvin	puM	meXAvi	puM																						
miSra	puM	miSraM	napuM																						
miwra	napuM:puM	sUryudu^miwrudu	napuM:napuM																						
moGa	napuM	vyarWaM^nirarWakaM	napuM																						
moha	puM	mohaM	napuM																						
moha	puM	mohamu	napuM																						
mohana	puM:napuM	mohiMpa_ceyuvAdu	puM:puM																						
mohinI	swrI	mohinI	swrI																						
mokRa	puM	mokRamu	napuM																						
mOna	napuM	mOnaM	napuM																						
mOnin	puM	mOnaM^mOnavrawaM_AcariMcevAdu	napuM																						
mqga	puM	mqgaM	napuM																						
mqgenxra	puM	mqgenxrudu	puM																						
mqwyu	puM	mqwyuvu	napuM																						
mqwyu	puM	yamudu	puM																						
muKa	napuM	muKaM	napuM																						
muKya	napuM:puM	muKyaM	napuM:napuM																						
muKya	napuM:puM	muKyudu	puM:puM																						
mUla	napuM	mUlamu	napuM																						
mUla	napuM	mUlamu^moVxalu	napuM																						
mUla	napuM	mUlamu^moVxalu^kAraNamu	napuM																						
mumukRu	puM	mokRaM_korevAdu	puM																						
muni	puM	muni	puM																						
mUrwi	puM:swrI	mUrwi^prawima^SarIraM	napuM:napuM																						
mUrXan	puM	mUrXamu^sirassu^wala	napuM																						
Axi	napuM	praWamaM	napuM																						
naBas	napuM	AkASaM	napuM																						
nacirAw	puM:napuM	naciraM^kRaNikaM	napuM:napuM																						
nAga	napuM:puM	nAga^pAmu^enugu	napuM:napuM																						
nakRawra	napuM	nakRawraM	napuM																						
nakula	puM	nakuludu^kulaM_lenivAdu	puM																						
nakula	puM	muMgisa	napuM																						
namas	puM:napuM	namaskAraM^xaMdamu	napuM:napuM																						
nAman	napuM	peru	napuM																						
namasya	puM:napuM	pUjanIya^arcanIya^saparya	napuM:napuM																						
nara	puM	narudu	puM																						
naraka	napuM:puM	narakaM	napuM																						
nAraxa	puM	nAraxudu	puM																						
narAXama	puM	narAXamudu	puM																						
narAXipa	puM	narAXipawi	puM																						
nArI	swrI	nAri	swrI																						
nASa	puM	nASamu^naSiMcu	napuM																						
nAsA	swrI	mukku	napuM																						
nASana	puM:napuM	nASanamu	napuM:napuM																						
nava	napuM:puM	nava^wommixi	napuM:napuM																						
navan	napuM	nava^wommixi	napuM																						
naxI	swrI	naxi	napuM																						
nAyaka	puM	nAyakudu	puM																						
nayana	napuM	nayanamu^kannu	napuM																						
nERkarmya	napuM	kriya_hInawa^niRkAma_karmalu_ceyuta	napuM																						
nERTikI	swrI	niRTa_kalavAdu	puM																						
newra	napuM	newramu^kannu	napuM																						
nibanXa	puM	nibanXanaM	napuM																						
nigraha	puM	nigrahaM	napuM																						
niHspqha	puM	niHspqha^spqha_lekuMduta	napuM																						
niHSreyasa  Sreyas?	puM:napuM	niHSreyassu^Sreyassu_kAnixi	napuM:napuM																						
nimiwwa	napuM	nimiwwaM^kAraNaM	napuM																						
ninxA	swrI	niMxa	napuM																						
nirahafkAra	puM:napuM	nirahafkAri	napuM:napuM																						
nirAhAra	puM:napuM	nirAhAra^AhAraM_lekapovadaM	napuM:napuM																						
nirASis	puM	ASa_lekapovadaM	napuM																						
nirASraya	puM:napuM	nirASrayaM^ASrayaM_lekapovuta	napuM:napuM																						
nirawa	napuM:puM	nirawamu	napuM:napuM																						
nirguNa	napuM	nirguNa^mUrKudu^paramAwma	napuM																						
nirmala	napuM:puM	nirmalaM^svacCaM^SuxXaM	napuM:napuM																						
nirmama	napuM:puM	mamakAraM_lekapovadaM	napuM:napuM																						
nirmAna	napuM	aBimAnaM_lekapovadaM	napuM																						
niRTA	swrI	niRTa	napuM																						
nirvANa	puM:napuM	nirvANamu^mukwi^mokRamu	napuM:napuM																						
nirvEra	puM:napuM	vEraM_lenixi	napuM:napuM																						
nirvexa	puM	nirvexaM^nirASa^vErAgyaM	napuM:napuM																						
nirvikAra	puM:napuM	nirvikArudu^vikAramu_lenivAdu	puM:puM																						
nirxeSa	puM	nirxeSaM^AjFa	napuM																						
nirxoRa	puM:napuM	nirxoRaM^nirxoRi^xoRaM_lekuMduta	napuM:napuM																						
nirxvanxva	napuM	rAgaxveRamulu_lenivAdu	puM																						
niSA	swrI	rAwri^pasupu	napuM																						
niScalA	swrI	niScalaM	napuM																						
niScaya	puM	niScayamu^nirNayamu	napuM																						
niswrEguNya	napuM	anAsakwudu^wriguNamulu_lenivAdu	puM																						
nivAsa	napuM:puM	nivAsaM	napuM:napuM																						
nivqwwi	swrI	nivqwwi^viramiMcuta^nivAraNamu	napuM																						
nIwi	swrI	nIwi	napuM																						
niwya	napuM:puM	niwyaM	napuM:napuM																						
vErin	napuM	vEri^viroXi	puM																						
niXana	napuM	niXi^ASrayamu	napuM																						
niXAna	napuM	uMcuta^saMpaxa^niXi	napuM																						
niXana	napuM	niXanudu^xarixrudu^bIxavAdu	puM																						
nixrA	swrI	nixra	napuM																						
niyama	puM	niyamaM^prawijFa^nigrahaM	napuM																						
niyawa	napuM:puM	niSciwa^sWira	napuM:napuM																						
niyawa	napuM:puM	niwyaM^niSciwaM	napuM:napuM																						
nO	swrI	nAva^oda	napuM																						
nq	puM	maniRi	puM																						
nyAsa	napuM:puM	sWApiMcadaM^xAcataM	napuM:napuM																						
nyAyya	puM	nyAyaM^uciwaM^sAmAnyaM	napuM																						
ofkAra	puM	oMkAraM	napuM																						
ojas	napuM	Sakwi^balaM^prakASaM	napuM																						
Opamya	napuM	samarUpamu	napuM																						
ORaXa	napuM:puM	ORaXamu	napuM:napuM																						
oRaXI	swrI	ORaXaM	napuM																						
pAFcajanya	puM	pAFcajanyaM	napuM																						
paFcama	napuM:puM	paFcamaM^Exava	napuM:napuM																						
paFcan	napuM	paFca^Exu	napuM																						
pakRa	napuM:puM	prakka^paxihenu_rojulu	napuM:napuM																						
pakRin	puM	pakRi^rekkalu_galaxi	napuM																						
Pala	napuM	Palamu	napuM																						
pAla	puM:puM	pAlana^pAlakudu	napuM:puM																						
Pala	napuM	PalaM	napuM																						
palAyana	napuM	pAripovadaM	napuM																						
paNava	puM	oVka_vAyixyamu	napuM																						
Anaka	puM:napuM	vAyixyamu	napuM:napuM																						
pANdava	puM:napuM	pANdavudu	puM:puM																						
paNdiwa	puM	paMdiwudu^vixvAMsudu	puM																						
pANdu	puM	pANdu_rAju	puM																						
pANi	puM	ceyi^haswamu	napuM																						
pApa	napuM:puM	pApaM	napuM:napuM																						
pApman	puM	pApaM^aparAXaM^xuRta	napuM																						
para	napuM	paramu^anyamu^iwara	napuM																						
parA	swrI	SreRTamEnaxi	napuM																						
parama	napuM:puM	parama^muKya^aXika^SreRTaM	napuM:napuM																						
paramA	swrI	muKya^SreRTaM^praXAnaM	napuM																						
paramAwman	puM	paramAwma	puM																						
parameSvara	napuM:puM	parameSvarudu	puM:puM																						
paranwapa	puM	SawrunASakudu	puM																						
parasparam	puM:napuM	parasparaM	napuM:napuM																						
parawara	napuM:puM	waruvAwa^pimmata	napuM:napuM																						
parAyaNa	puM:napuM	parAyaNudu^AsakwikalavAdu^Asriwudu^aBIRtamu^Asakwi	puM:puM																						
parigraha	puM	svIkariMcadaM^cuttumuttadaM	napuM																						
parihArya	aBIRtamu^Asakwi	parihariMpawaginaxi^viduvawaginaxi	puM																						
parijFAwq	puM:napuM	jFAni^buxXimAn	napuM:napuM																						
parimeyA	swrI	koVluvaxaginaxi^parimiwa	napuM																						
pariNAma	napuM	pariNAmaM^mArpu^parivarwanaM	napuM																						
paripanWin	puM	Sawruvu^ahiwudu	puM																						
paripraSna	puM	praSna^kuSala_praSna	napuM																						
pariwrANa	napuM	saMrakRaNa	napuM																						
pariwyAga	puM	pariwyAgaM^wyAgamu_ceyadaM	napuM																						
pariwyAgin	puM:napuM	pariwyajiMcinavAdu^wyAgi	puM:puM																						
parjanya	puM	uwpAxanaM^kaligiMcadaM	napuM																						
parNa	napuM	parNaM	napuM																						
pAruRya	napuM	nirxaya^kaToraM^paruRaM	napuM																						
pArWa	puM	pArWudu^kuMwI_puwrudu	puM																						
paryanwa	napuM:puM	paryaMwaM^varaku	napuM:napuM																						
paryuRiwa	puM	pAcipoyinaxi^bahukAlaM_uMcabadinaxi	napuM																						
pAvaka	napuM:puM	agni^sUryudu	napuM:napuM																						
pAvana	puM:napuM	pAvanaM^paviwraM^paviwraM_ceyuta	napuM:napuM																						
pavana	napuM:puM	vAyuvu^gAli^pavanaM	napuM:napuM																						
paviwra	puM	paviwraM	napuM																						
pawafga	puM	pakRi^sUryudu^pawafgaM	napuM																						
pawi	puM	pawi^Barwa	puM																						
paWin	puM	mArgaM^xAri^wrova	napuM																						
pAwra	napuM:puM	pAwra^vixyA_guNamu_kalavAdu	napuM:puM																						
pawra	napuM	pawraM^Aku^xaswAveju	napuM																						
pAxa	puM	pAxamu	napuM																						
paxa	napuM	paxamu^BAgamu	napuM																						
paxa	napuM	adugu^sWAnaM^paxamu	napuM																						
pAxa	puM	pAxamu	napuM																						
paxma	puM:napuM	paxmaM^wAmara	napuM:napuM																						
pIdA	swrI	pIda^kaRtaM^vexana^karuNa	napuM																						
piNda	puM:napuM	piNdaM	napuM:napuM																						
piwAmaha	puM	piwAmahudu^wAwa	puM																						
piwq	puM	piwq^waMdri	puM																						
plavana	napuM	wariMcuta^Ixuta	napuM																						
pONdra	puM	pONdra_xeSaM	napuM																						
pOruRa	napuM:puM	pOruRaM^parAkramaM^puruRa_BAvaM	napuM:napuM																						
pOrvaxehika	napuM	pUrvajanma_pApapuNyamulu	napuM																						
pOwra	puM	pOwrudu^manumadu^kodudu_koduku	puM																						
pqRTa	napuM	veVnuka	napuM																						
pqWakwva	napuM	veru	napuM																						
pqWivI	swrI	pqWivi^BUmi	napuM																						
pqWivIpawi	puM	rAju	puM																						
praBA	swrI	praBa^veVlugu^wejassu	napuM																						
praBAva	puM	praBAvamu^kAMwi^sAmarWyamu	napuM																						
praBava	puM	praBAvaM	napuM																						
praBaviRNu	napuM:puM	SakwiSAli^sAmarWyaM_kalavAdu	puM:puM																						
praBu	napuM:puM	praBuvu^rAju^aXipawi^svAmi	puM:puM																						
prAFjali	puM	aFjali	napuM																						
praharaNa	napuM	kottuta^AyuXaM	puM																						
prahlAxa	puM	prahlAxudu	puM																						
prajA	swrI	prajalu	puM																						
prajana	puM	uwpAxanaM^cUlu^garBamu	napuM																						
prajApawi	puM	prajApawi^rAju	puM																						
prajFA	swrI	prajFa^buxXi	napuM																						
prAjFa	puM:swrI	buxXi	napuM:napuM																						
prakASa	napuM:puM	prakASaM	napuM:napuM																						
prakASaka	puM:napuM	prakASakudu^veVlugu_iccuvAdu	puM:puM																						
prakIrwi	swrI	kIrwi^prasixXi^yaSassu	napuM																						
prAkqwa	puM:napuM	sAmAnya^sAXAraNa^prAkqwa_BARa	napuM:napuM																						
prakqwi	swrI	prakqwi^jIvamu^svaBAvamu	napuM																						
sWa	puM:napuM	uMdu	napuM:napuM																						
pralaya	puM	pralYayaM	napuM																						
pralIna	puM	naRtamEnaxi^cewanamu_lenixi	napuM																						
pramAWin	napuM	pIdiMcuvAdu	puM																						
pramAxa	puM	pramAxaM^xurGatana	napuM																						
pramuKa	napuM	pramuKaM^muKyaM^SreRTaM	napuM																						
prANa	puM	prANamu^jIvamu^prANa_vAyuvu	napuM																						
praNava	puM	praNavAkAraM^oMkAraM	puM																						
praNaya	puM	praNayaM^vivAhaM^snehaM^prema	napuM																						
prANin	napuM:puM	prANi	napuM:napuM																						
praNipAwa	puM	praNAmaM^namaskAraM^aBivAxanaM	napuM																						
prapiwAmaha	puM	muwwAwa	puM																						
prApwi	swrI	prApwi^poMxu^laBiMcu	napuM																						
prasaBa	napuM	balAwkAraM^hiMsa	napuM																						
prasafga	puM	prasafgaM^saMxarBaM	napuM																						
prasAxa	puM	prsAxamu^prasannamu^anugrahamu^nEvexyaM	napuM																						
pravAla	puM:napuM	ciguru^pagadamu	napuM:napuM																						
pravIra	puM:napuM	uwkqRta_yoXudu^pUjyudu	puM:puM																						
pravqwwi	swrI	AraMBaM^svaBAvaM	napuM																						
prawApa	puM	prawApaM^wejassu^vedi	napuM																						
prawIkAra	puM	prawIkAraM^viroXaM	napuM																						
prawyakRa	napuM:puM	prawyakRaM^kanipiMcunaxi^kalYlYa_eVxuru	napuM:napuM																						
prawyanIka	puM:napuM	Sawruvu^viroXi	puM:puM																						
prawyavAya	puM	avaroXaM^pApaM^kRINiMcuta	napuM																						
praxa	puM	xAwa	puM																						
prAXAnya	napuM	prAXAnyaM^muKyaM	napuM																						
prayANa	napuM	prayANaM	napuM																						
prayAwa	puM	canipovadaM^velYlYipovadaM^AkramiMcadaM	napuM																						
prayawna	puM	prayawnaM	napuM																						
prepsu	napuM	poVMxavalenani_korika_kalavAdu	puM																						
prIwi	swrI	prIwi	napuM																						
priyA	swrI	priya^priyurAlu	swrI																						
priya	napuM:puM	priyudu	puM:puM																						
pufgava	puM	puMgavudu^SreRtudu	puM																						
pUjana	napuM	pUjiMcadaM^gOraviMcadaM	napuM																						
pUjya	puM:swrI	pUjiMpaxaginaxi	napuM:napuM																						
punarAvarwin	puM	malYli_janmiMcuvAdu	puM																						
punarjanman	napuM	xvijanma^punarjanma^malYlYi_puttuta	napuM																						
puNya	napuM	puNyaM	napuM																						
pura	napuM	puramu^nagaramu	napuM																						
purANa	puM:napuM	purANaM^purAwana^prAcIna	napuM:napuM																						
purANI	swrI	puramulu^nagaramulu	napuM																						
purAwana	puM:napuM	purAwanaM	napuM:napuM																						
puRkalA	swrI	puRkalaM^aXikaM^SreRTaM^saMqxXaM	napuM																						
pUrNa	napuM:puM	pUrNamu^saMpUrNamu	napuM:napuM																						
puroXas	puM	purohiwudu	puM																						
puRpa	napuM	puRpaM^pUvu^kusumaM	napuM																						
puRpiwA	swrI	pUcinaxi^wIga^vqkRaM	napuM																						
purujiw	puM	purujiwwudu	puM																						
pUruRa	puM	puruRudu^maniRi^Awma	puM																						
puruRa	puM	puruRudu	puM																						
puruRarRaBa	puM	SreRTa_puruRudu	puM																						
puruRowwama	puM	puruRowwamudu	puM																						
pUrva	napuM:puM	wUrpu^pUrvaM	napuM:napuM																						
pUrvaka	puM:napuM	pUrvakaM	napuM:napuM																						
pUwi	napuM	xurgaMXaM	napuM																						
puwra	puM	puwrudu	puM																						
qk	swrI	swuwi^praSaMsa^pUja^qigvexa	napuM																						
qRi	puM	qRi	puM																						
qwa	puM:napuM	pUjiMpabadunaxi^sawyamu	napuM:napuM																						
qwu	puM	qwuvu	napuM																						
rAga	puM	rAga^xuRta^mAwsaryamu^anurAgaM	napuM																						
rAgAwmaka	napuM	rAgAwmakaM^anurAgaM_kaliginaxi	puM																						
rAgin	puM	anurakwudu^rAgamu_kalavAdu	puM																						
rahas	napuM	ekAMwamu	napuM																						
rahasya	napuM:puM	rahasyaM	napuM:napuM																						
rahiwa	napuM:puM	rahiwa^viduvabadinaxi	napuM																						
rAjan	puM	rAju	puM																						
rajas	napuM:puM	rajoguNamu	napuM:napuM																						
rAjasa	napuM:puM	rajoguNa_saMbaMXiwa^rAju_saMbaMXiwa^wejassu	napuM:napuM																						
rAjasI	swrI	rajoguNa_saMbaMXiwa	napuM																						
rAjya	napuM	rAjyaM	napuM																						
rakRas	napuM	rAkRasudu	puM																						
rAkRasI	swrI	rAkRasi	swrI																						
rakRya	puM:napuM	rakRiMpaxaginaxi	napuM:napuM																						
rAma	puM	priyaM^manoharaM^AnaMxapraxa	napuM																						
rAma	puM	SrI_rAmudu	puM																						
raNa	napuM:puM	raNaM^yuxXaM^saMgrAmaM^samaraM	napuM:napuM																						
RaR	napuM	Rat^Aru	napuM																						
RaRTa	napuM:puM	Aravaxi	napuM:napuM																						
rasa	puM	rasa	napuM																						
rasa	puM	sAraM	napuM																						
rasana	napuM	nAluka^ruci	napuM																						
rasAwmaka	napuM:puM	rasAwmakaM^sAravaMwaM	napuM:napuM																						
rASi	puM	samUhamu	napuM																						
rasya	napuM:puM	sAravaMwaM^rucikaraM	napuM:napuM																						
ravi	puM	sUryudu	napuM																						
raWa	puM	raWaM	napuM																						
rawi	swrI:swrI	anurAgaM^rawI_xevi	napuM:swrI																						
rawi	swrI	AnaMxaM^prema^Bakwi	napuM																						
rAwra	napuM:puM	rAwri	napuM																						
rAwri	swrI	rAwri	napuM																						
ripu	puM	Sawruvu	puM																						
roman	napuM	romamu^cinna_veVMtruka	napuM																						
rUkRa	puM	karuku^paruRaM	napuM																						
rUpa	napuM	rUpamu	napuM																						
ruxra	napuM:puM	ruxra^BayAnaka^Bayafkara	napuM:napuM																						
Sabxa	puM	Sabxamu	napuM																						
carAcara	puM:napuM	prapaMcaM	napuM:napuM																						
saFcaya	puM	samUhamu	napuM																						
safGa	puM	saMGamu^samUhamu^kaliyunaxi^kUduta^sahavAsaM	napuM																						
safGAwa	puM	samuxAyaM^samUhamu	puM																						
safgin	napuM:puM	snehaSIludu	puM:puM																						
safgraha	puM	safgrahaM^sekariMcu^safkRipwa	napuM																						
safgrAma	puM	safgrAmaM^yuxXaM^kalahaM^poru	napuM																						
saFjaya	puM	saFjayudu	puM																						
saFjFaka	napuM:puM	peru	napuM:napuM																						
saFjFiwa	napuM:puM	perugalaxi	napuM:napuM																						
SafKa	puM	SafKamu	napuM																						
safkalpa	puM	safkalpamu^icCASakwi^mAnasika_xqDawvaM	napuM																						
Safkara	puM	Safkarudu	puM																						
safkara	puM	safkara_jAwi^kUdika	napuM																						
sAfKya	napuM:puM	safKyA_saMbaMxiwa^sAfKya_xarSanaM	napuM:napuM																						
safKya	napuM	safKya^aMkeV	napuM																						
safKyAna	napuM	safKya	napuM																						
sAgara	puM	sAgaraM	napuM																						
sAgara	puM	sAgaraM^samuxraM	napuM																						
saha	puM:napuM	orpu_unnavAdu^sahiwamu^Sakwi^sAmarWyaM	puM:napuM																						
sahaja	puM	sahajaM	napuM																						
sahasra	napuM	sahasraM^veyi	napuM																						
sahaxeva	napuM:puM	sahadevudu	puM:puM																						
SAKA	swrI	SAKa^cettu_komma^Bujamu	napuM																						
saKa	puM	miwrudu^sakudu	puM																						
saKi	puM	saKi^celiya	swrI																						
sAkRin	puM	sAkRi^cUcinavAdu	puM																						
sakwa	puM:napuM	Asakwudu	puM:puM																						
sama	napuM:puM	samAnamu^samaswaM^samaM	napuM:napuM																						
Sama	napuM:puM	SAMwi^upaSamanaM	napuM:napuM																						
samagra	napuM:puM	samaswaM^samagraM	napuM:napuM																						
samakRa	napuM:puM	samakRaM	napuM:napuM																						
samam	puM:napuM	samaM^samAnaM	napuM:napuM																						
sAman	napuM	mqxuwvaM^sAmavexaM	napuM																						
samanwAw	puM:napuM	aMwatA^viSva_vyApi	napuM:napuM																						
samanwa	puM:napuM	aMwata	napuM:napuM																						
samAramBa	puM	AramBaM	napuM																						
sAmarWya	napuM	sAmarWyaM	napuM																						
samAsa	puM	samAsaM	napuM																						
sAmAsika	napuM:puM	samAsa_saMbaMXa^sAmUhika	napuM:napuM																						
