Samskrit Word	Samskrit_GenderTelugu	Telugu_Word	Telugu _Gender																						
anuwwamA	swrI	SreRTurAlu^sarvowwamurAlu	swrI																						
anuwwama	puM	SreRTudu^sarvowwamudu	puM																						
anuxarSana	napuM	xaggaragA_cUdadaM^nirIkRiMcadaM	napuM																						
anwa	napuM:puM	aMwaM	napuM:napuM																						
anwara	puM:napuM	aMwaraM^samIpaM^lopala	napuM:napuM																						
anwarAwman	puM	aMwarAwma^paramAwma	napuM																						
anwika	napuM:puM	samIpaM^anwaM	napuM:napuM																						
anyA	swrI	anyaM^veru^iwaraM^BinnaM	napuM																						
anya	napuM:puM	anyaM^veru^iwaraM^BinnaM	napuM:napuM																						
anyAya	puM	anyAyaM^nyAyaM_lenixi	napuM																						
ap	swrI	jalaM	napuM																						
apamAna	napuM:puM	anAxaraNa	napuM:napuM																						
apAna	puM	apAna_vAyuvu	napuM																						
aparA	swrI	iwaraM^waruvAwa	napuM																						
apara	napuM:puM	iwaraM^waruvAwa	napuM:napuM																						
aparAjiwa	puM	ajeyudu	puM																						
aparaspara	puM:napuM	parasparaM_kAnixi	napuM:napuM																						
aparigraha	puM	svIkariMcakapovuta^saMgrahaNa_icca_lekapovuta	napuM																						
apAwra	puM	apAwrudu^xAnamunaku_pAwrudu_kAnivAdu	puM																						
apAyin	puM	apAyaM	napuM																						
apESuna	napuM	sawyaM^nyAya_buxXi	napuM																						
apohana	napuM	Uha^BrAMwi^woVlagiMcadaM	napuM																						
aprakASa	napuM:vi	prakASaM_lenixi^prakatiMpabadanixi	napuM																						
apravqwwi	swrI	pravqwwi_lenixi^nivqwwi	napuM																						
aprawima	napuM	asamAnudu	puM																						
aprawiRTa	puM:napuM:vi	aprawiRTa	napuM:napuM																						
apriya	napuM:puM:swrI	apriyaM	napuM:napuM																						
apunarAvqwwi	swrI	maroVka_janma_lenixi^mukwi	napuM																						
ApUryamANa	puM	aMwatA_vyApiMcunaxi	napuM																						
apyaya	puM	nASaM	napuM																						
arAga	puM:napuM	rAga_rahiwa	napuM:napuM																						
ArAma	puM	wota^upavanamu^AnaMxamu^krIdA_praxeSamu	napuM																						
AramBa	napuM:puM	AraMBaM	napuM:napuM																						
ArAXana	napuM	ArAXana	napuM																						
arha	puM:napuM	arhawa	napuM:napuM																						
arha	puM:napuM	waginavAdu	puM:puM																						
ari	puM	Sawruvu	puM																						
arisUxana	puM	arisUxanudu^Sawqvulanu_nASamu_ceyuvAdu	puM																						
Arjava	napuM	saralYawa^nijAyiwI	napuM																						
arjuna	puM	arjunudu	puM																						
arka	puM	sUrya_kAMwi	napuM																						
Arogya	puM:napuM	Arogyamu	napuM:napuM																						
arpaNa	napuM	arpaNamu^samarpaNamu	napuM																						
ArurukRu	puM	unnawi_ceVMxavaleVnani_icca_kalavAdu	puM																						
