Samskrit Word,Samskrit_GenderTelugu,Telugu_Word,Telugu _Gender
Bakwa,puM,Bakwudu,puM
Bakwi,swrI,Bakwi,swrI
Bakwi-upa_hq1,,,
Bakwi-yoga,,,
Bakwimaw,puM,Bakwudu^Bakwi_kalavAdu,puM
BarawaSreRTa,puM,Barawa_SreRTudu,puM
BarawarRaBa,puM,BarawarRaBa^BarawaxeSa_rAju,puM
Barawasawwama,puM,Barawasawwama^BarawaSreRTa,puM
Barwq,puM,,puM
BasmasAw,puM,Basmam_ceyuta,puM
Bava,puM,Bava^prApwi^janmamu,puM
apyaya,,nASamu,
Bavaw,napuM:puM,jarugunaxi^uMdunaxi,napuM:puM
BaviRya,puM,BaviRya^kAgalaxi,puM
BaviRyaw,napuM:puM,BaviRyaw_kAlamu^jaragaboyexi,napuM:puM
BayAnaka,puM:napuM,BayAnakamu^BayaMkaramu,puM:napuM
BayAvaha,puM,BayAvaha^Bayamunu_kaligiMcunaxi,puM
Baya,napuM,Bayamu,napuM
aBaya,napuM:puM:swrI,aBayamu^Bayamu_lekapovuta,napuM:puM:swrI
BerI,swrI,BerI,swrI
Bexa,puM,Bexamu,puM
BinnA,swrI,Binnamu,swrI
Boga,napuM:puM,Bogamu,napuM:puM
Esvarya,,Esvaryamu,
gawi,swrI,gawi,swrI
prasakwa,napuM:puM:swrI,Asakwudu,napuM:puM:swrI
Bogin,puM,Bogi^suKI^Bogamu_anuBaviMcuvAdu,puM
Bojana,napuM,Bojanamu,napuM
Bokwq,napuM,Bogi^rAju^Bojanamu_ceyuvAdu,napuM
Bokwqwva,napuM,anuBaviMcuta,napuM
Bq2,,,
Bqgu,puM,Bqgu_maharRi,puM
BrAwq,puM,sahoxarudu^wodabuttinavAdu,puM
BrU,swrI,kanubomma,swrI
Bram1,,,
Bram2_Nic,,,
Buj2,,,
Cala,napuM,mosamu^vaMcana,napuM
Canxas,napuM,Canxassu^icca,napuM
Cinna,napuM:puM:swrI,Cinna^Cexana,napuM:puM:swrI
aBra,,AkASamu^meGamu,
saMSaya,puM,saMSayamu,puM
xvEXa,,xviwvamu^reMdu_viXamulu,
Cix1,,,
ESvara,puM:swrI,Isvaruniki_saMbaMXiMcinaxi,puM:swrI
ErAvawa,puM,ErAvawamu,puM
GoRa,napuM:puM,GoRa^Xvani,napuM:puM
Gora,napuM:puM,GoramEnaxi^BayaMkaramu,napuM:puM
GrA1,,,
GrANa,napuM,vAsana^nAsika,napuM
ISa,puM,ituvaMtixi,puM
ISvara,puM,Isvarudu,puM
ISvara-BAva,,,
Id1,,,
Ih1,,,
IkR1,,,
IxqS,napuM:puM:swrI,,napuM:puM:swrI
JaRa,napuM:puM,cepa^adavi,napuM:puM
Ka,puM,AkASamu,puM
ORaXa,napuM:puM,ORaXamu,napuM:puM
Pala,napuM,Palamu,napuM
AkAfkRin,,AsiMcuvAdu^koruvAdu,
hewu,puM,hewuvu^kAraNamu,puM
RWA1,,,
RaR,napuM,Rat^Aru,napuM
mAsa,puM,mAsamu,puM
Ranja1,,,
SAKA,swrI,SAKa^cettu_komma^Bujamu,swrI
SASvawI,swrI,SASvawamEnaxi^niwyamEnaxi,swrI
SASvawa,napuM,SASvawamu^niwyamu,napuM
Xarman,,Xarmamu,*
gopwq,,rakRakudu^rAju,
SAnwa,napuM:puM,Sanwi_poVMxinavAdu,napuM:puM
rajas,napuM:puM,rajoguNamu,napuM:puM
SAnwi,swrI,SAMwi^Samanamu,swrI
SArIra,napuM:puM,SarIra_saMbaMXa,napuM:puM
SAs1,,,
SAswra,napuM,Saswramu,napuM
SAswra-viXAna-vac1,,,
viXAna,napuM,viXAnamu,napuM
viXi,puM,viXi^niyamamu,puM
SEbya,napuM:puM,Sebya,napuM:puM
Siwa,napuM:puM,Siwamu,napuM:puM
uRNa,napuM:puM,uRNamu,napuM:puM
xuHKa,napuM,xuHKamu,napuM
xa,,iccuvAdu^iccunaxi,
SOca,napuM,Socamu^pariSuBrawa,napuM
SOrya,napuM,Soryamu,napuM
SUra,puM,Surudu,puM
SUxra,puM,Suxrudu,puM
SaMs1,,,
SaSAfka,puM,SaSAfkudu^caMxrudu,puM
SaSin,puM,SaSi^caMxrudu,puM
sUrya,puM,sUryudu,puM
newra,napuM,newramu^kannu^nAyakudu,napuM
SaSvaw,,marala^niraMwaramu,
SaTa,napuM:puM,kuwsiwudu^mUrKudu,napuM:puM
Sabxa,puM,Sabxamu,puM
Sabxa-Axi,,,
brahman,napuM:puM,brahman^paramAwma,napuM:puM
SafKa,puM,SafKamu,puM
Safkara,puM,Safkarudu,puM
Sak1,,,
Sama,napuM:puM,SAMwi^upaSamanaM,napuM:puM
SanEH,,mellagA,
SarIra,napuM:puM,SarIramu,napuM:puM
SarIra-sWa,,,
vAk,,vAkku,
vi-mokRaNa,,vaxilipettuta,
yAwrA,swrI,yAwra^wIrWayAwra,swrI
SarIrin,puM,SarIramu_kalaxi,puM
SaraNa,napuM,SaraNamu,napuM
Sarman,napuM:puM,brAhmaNudu^saMwoRamu,napuM:puM
Saswra,napuM,Sawramu^AyuXamu,napuM
Saswra-Bqwa,,SaswraXArI^XariMcuvAdu,*
pANi,puM:swrI,ceyi^haswamu,puM:swrI
sampAwa,puM,pawanaM,puM
SawaSaH,,Sawamu^vaMx^nUru,
Sawru,puM,Sawruvu,puM
Sawruvaw,,Sawruvu_lAgA^Sawruvu,
Sawruwva,napuM,Sawruwvamu,napuM
SiKaNdin,napuM:puM,SiKaMdi^nemali,napuM:puM
SiKarin,puM,SiKaramu_kalaxi^parvawamu,puM
SiRya,puM,SiRyudu,puM
Siras,napuM,Sirassu,napuM
Soka,puM,Sokamu,puM
saMvigna,napuM:puM,uxvegaM_ceMxinavAdu,napuM:puM
mAnasa,puM,manassu^mAnasa_sarovaramu,puM
SrI,swrI,SrI^Esvaryamu,swrI
SrImaw,napuM:puM,SoBanakaramEna,napuM:puM
SraxXA,swrI,SraxXa,swrI
virahiwa,napuM:puM,lenixi,napuM:puM
SraxXAmaya,puM,SraxXAmaya^SraxXa_kaligiuMduta,puM
SraxXAvaw,puM,SraxXa,puM
SraxxaXAna,napuM:puM,SraxXA_yukwa,napuM:puM
SreRTa,napuM:puM,SreRTamu,napuM:puM
Sreyas,napuM:puM,Sreyassu^SuBamu,napuM:puM
Sri1,,,
Srowra,napuM,cevi^karNamu,napuM
Axin,,BujiMcedi,
Sru1,,,
Sruwi,swrI,vexamu^cevi,swrI
parAyaNa,,parAyaNudu^AsakwikalavAdu,
viprawipannA,,viroXamu,
SuBa,napuM:puM,SuBamu^maMgalYamu,napuM:puM
aSuBa,napuM:puM:swrI,aSuBamu,napuM:puM:swrI
Pala,napuM,Palamu,napuM
pariwyAgin,,pariwyajiMcinavAdu^wyAgi,
SuR1_Nic,,,
Suc1,,,
Suci,puM:swrI,Suci^SuxXaM,puM:swrI
Sukla,napuM,SuxXaM^weVlupu,napuM
kqRNa,napuM:vi:puM,nalupu,napuM:vi:puM
SvaSura,puM,mAmagAru,puM
Svan,puM,kukka,puM
SvapAka,puM,caMdAludu,puM
Svas1,,,
Svewa,napuM:puM,Svewamu^weVlupu,napuM:puM
SyAla,puM,bAvamarixi,puM
mUla,napuM,mUlamu,napuM
UrXvam,napuM,mIxaunnaxi^pEki,napuM
Urjiwa,napuM:puM:swrI,XqDamu^balamu,napuM:puM:swrI
XA1,,,
XAman,napuM,SarIramu^nivAsa_sWAnamu,napuM
XArwarARtra,puM,XqwarARtruni_koduku,puM
XAwq,puM,XariMcuvAdu,puM
XImaw,puM,jFAnamu_kalavAdu^buxXimaMwudu,puM
XIra,napuM:puM,Xirudu,napuM:puM
XUma,puM,Xumamu^poga,puM
Xana,napuM,Xanamu,napuM
mAna,puM,mAna^aBimAnamu,puM
maxa,napuM:puM,maxamu,napuM:puM
anviwa,vi,anusariMcunaxi^kUdiyunnaxi,vi
XanaFjaya,puM,XanaFjayudu,puM
XanurXara,puM,XanurXarudu^vilukAdu,puM
Xanus,napuM,Xanussu^villu,napuM
Xarma,puM,Xarmamu,puM
aviruxXa,,viruxXamu,*
kAma,puM:swrI,kAmamu^icca,puM:swrI
arWa,puM,arWamu^vaswuvu^Xanamu^prayojanamu,puM
saMsWApanA,swrI,saMsWApanamu^sWApanamu,swrI
Xarman-Awman,,,
kRewra,napuM,kRewramu^sWalamu^paMta_Bumi^,napuM
sammUDa,,mUrKudu^mUDudu,
cewas,napuM,ciwwamu^cewanamu,napuM
Xarmya,puM,XarmAwmudu^puNyamu,puM
amqwa,napuM:puM,amqwamu^suXa,napuM:puM
Xenu,swrI,Xenuvu^Avu,swrI
XmA1,,,
Xq1_Nic,,,
XqRtakewu,puM,XqRtakewudu,puM
XqRtaxyumna,puM,XqRtaxyumnudu,puM
XqwarARtra,puM,XqwarARtrudu,puM
Xqwi,swrI,Xeryamu^Xqwi,swrI
gqhIwA,,grahiMpabadinaxi,
uwsAha,puM,uwsAhamu,puM
XruvA,swrI,niScayamu,swrI
Xruva,puM,niScayamu^acalamu,puM
XyAna,napuM,XyAnamu,napuM
para,napuM,paramu^anyamu^iwara,napuM
XyAyaw,,XyAnamu,
XyE1,,,
_ca,,,
a-BU1_Nic,,,
a-Cix1,,,
a-Socya,,xuHKimpawagina^SocanIyamu,*
a-SraxxaXAna,,SraxXa_kaliginaxi,*
a-SuR1,,,
a-cinwya,,ciMwiMpawaginaxi^ciMwanIyamu,*
a-han1,,,
a-hiwa,,hiwamu,*
a-kIrwi,,kIrwi,
a-kIrwikara,,kIrwiMcuta,*
a-karman,,,
a-klix1,,,
a-kqwa,,kqwa^ceyabadinaxi,
a-nASin,,nASamu_ceyuvAdu,
a-niwya,,niwyamu,
a-parihArya,,parihariMpawaginaxi^viduvawaginaxi,
a-pra_xA2,,,
a-prameya,,yaWArxa_jFAnamu,
a-sakwa,,Asakwudu,
a-sapawna,,Sawruvu,
a-saw,,yaWArXamu^sawyamu,
a-svargya,,svargaM_koVrakuceyu_SuBakAryamu,
a-vikArya,,,*
a-vinASin,,vinASanamu,
a-vipaSciw,,paMdiwudu^vixvAMsudu,
a-vyakwa,,vyakwamu^spaRtamu,
a-vyavasAyin,,prayawnamu_ceyuvAdu^vyavasAyamu_ceyuvAdu^rEwu,
a-vyayA,,vyayamu^Karcu,
a-vyaya,,vyayamu^Karcu,
a-xah1,,,
a-yuj2,,,
aBAva,puM,aBAvamu^lekapovuta,puM
aBaya,napuM:puM:swrI,Bayamu_lekapovuta,napuM:puM:swrI
aBi-asUyaka,,asUya_kalavAdu,*
aBi-janavaw,,,*
aBi-muKa,,aBimuKaM^exuruga^muKamu,*
aBi_BU1,,,
aBi_XA1,,,
aBi_arc1,,,
aBi_asUya,,asUya,
aBi_asUya1,,,
aBi_han1,,,
